PD,0.99,30,"[0.31, 0.12, 0.29, 0.28]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],15
BS,0.95,30,"[0.21, 0.19, 0.3, 0.3]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.95,30,"[0.19, 0.21, 0.38, 0.22]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",2
PD,0.95,30,"[0.36, 0.31, 0.22, 0.11]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],16
BS,0.99,30,"[0.26, 0.13, 0.2, 0.41]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.16, 0.35, 0.22, 0.26]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",4
PD,0.99,30,"[0.16, 0.14, 0.37, 0.33]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],12
BS,0.95,30,"[0.07, 0.75, 0.01, 0.17]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.95,30,"[0.24, 0.19, 0.34, 0.24]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",2
PD,0.95,30,"[0.07, 0.4, 0.27, 0.26]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],10
BS,0.99,30,"[0.22, 0.32, 0.28, 0.18]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.29, 0.24, 0.15, 0.33]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",3
PD,0.99,30,"[0.35, 0.14, 0.19, 0.32]",random,"('AC', 'AD', 'TFT', 'nTFT')",['AD'],4
BS,0.95,30,"[0.15, 0.33, 0.4, 0.13]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.95,30,"[0.01, 0.05, 0.47, 0.46]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],3
PD,0.95,30,"[0.33, 0.14, 0.29, 0.24]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],15
BS,0.99,30,"[0.2, 0.26, 0.15, 0.4]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.08, 0.33, 0.37, 0.21]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",2
PD,0.99,30,"[0.25, 0.04, 0.33, 0.37]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],13
BS,0.95,30,"[0.24, 0.35, 0.17, 0.24]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.95,30,"[0.19, 0.08, 0.38, 0.34]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",2
PD,0.95,30,"[0.14, 0.2, 0.42, 0.25]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],10
BS,0.99,30,"[0.01, 0.25, 0.23, 0.5]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.16, 0.26, 0.4, 0.17]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",2
PD,0.99,30,"[0.24, 0.2, 0.3, 0.25]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],15
BS,0.95,30,"[0.15, 0.09, 0.08, 0.69]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.95,30,"[0.05, 0.48, 0.22, 0.25]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],3
PD,0.95,30,"[0.42, 0.02, 0.11, 0.45]",random,"('AC', 'AD', 'TFT', 'nTFT')",['AD'],8
BS,0.99,30,"[0.28, 0.04, 0.42, 0.26]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AD', 'TFT']",19
SH,0.99,30,"[0.42, 0.04, 0.12, 0.42]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",3
PD,0.99,30,"[0.26, 0.08, 0.39, 0.27]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],15
BS,0.95,30,"[0.19, 0.03, 0.47, 0.31]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AD', 'TFT']",19
SH,0.95,30,"[0.28, 0.07, 0.02, 0.63]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",15
PD,0.95,30,"[0.32, 0.6, 0.06, 0.02]",random,"('AC', 'AD', 'TFT', 'nTFT')",['AD'],3
BS,0.99,30,"[0.27, 0.07, 0.25, 0.42]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.04, 0.6, 0.29, 0.07]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],2
